timestamp,Gyro_x,Gyro_y,Gyro_z,Accel_x,Accel_y,Accel_z,Mag_x,Mag_y,Mag_z,Corrected_Mag_x,Corrected_Mag_y,Corrected_Mag_z
1730865123458,14.8638,38.5504,-61.0182,2.4584,-4.59,7.494,0.5012,0.9357,1.5278,0.23579463184621,0.960167899891186,0.958888925160198
1730865123468,15.0508,36.5914,-62.0201,2.3986,-4.6271,7.4988,0.4265,-1.0093,1.5456,0.16109463184621,-0.984832100108814,0.976688925160198
1730865123488,17.6976,28.9128,-66.5211,1.2076,-5.9659,7.776,0.2462,-1.2163,1.5853,-0.0192053681537904,-1.19183210010881,1.0163889251602
1730865123508,15.7685,31.1633,-59.7994,0.576,-5.8977,7.9748,0.1174,-1.2023,1.6258,-0.14800536815379,-1.17783210010881,1.0568889251602
1730865123528,18.348,50.5133,-55.8891,1.4394,-5.1852,6.9575,0.4555,-1.1379,1.295,0.19009463184621,-1.11343210010881,0.726088925160198
1730865123548,20.0004,53.1077,-88.4805,3.1153,-7.1197,5.9174,0.6351,-1.4515,1.2064,0.36969463184621,-1.42703210010881,0.637488925160198
1730865123568,4.7477,42.2439,-75.0521,3.5051,-6.8114,5.9228,0.7145,-1.3886,1.2075,0.44909463184621,-1.36413210010881,0.638588925160198
1730865123578,-1.8168,34.4306,-69.5343,3.5104,-6.1683,5.9953,0.7156,-1.2575,1.2222,0.45019463184621,-1.23303210010881,0.653288925160198
1730865123598,-3.9178,9.9665,-75.4933,2.0932,-6.4725,6.4378,0.4267,-1.3195,1.3125,0.16129463184621,-1.29503210010881,0.743588925160198
1730865123608,-3.6636,0.2915,-80.7868,0.6622,-7.5317,7.1377,0.135,-1.5355,1.4552,-0.13040536815379,-1.51103210010881,0.886288925160198
1730865123618,-4.7926,1.5626,-72.2782,0.3077,-7.8724,7.4994,0.0627,-1.6049,1.5289,-0.20270536815379,-1.58043210010881,0.959988925160198
1730865123628,-8.0599,16.763,-59.2462,0.2604,-7.2155,7.2622,0.0531,-1.471,1.4805,-0.21230536815379,-1.44653210010881,0.911588925160198
1730865123648,-5.1739,45.8552,-86.3496,1.7735,-5.9959,6.6833,0.5766,-1.2819,1.3483,0.31119463184621,-1.25743210010881,0.779388925160198
1730865123668,-6.3627,22.0341,-90.3646,2.3932,-7.4048,7.0168,0.4879,-1.5096,1.4305,0.22249463184621,-1.48513210010881,0.861588925160198
1730865123688,-20.7331,15.2825,-68.4725,1.4525,-7.3622,7.3958,0.2961,-1.5009,1.5078,0.0306946318462096,-1.47643210010881,0.938888925160198
1730865123708,-31.3951,19.3798,-95.4937,0.2694,-7.7341,7.7562,0.0549,-1.5767,1.5812,-0.21050536815379,-1.55223210010881,1.0122889251602
1730865123728,-33.2418,30.4081,-115.083,0.2874,-7.7622,8.2993,0.0585,-1.5825,1.692,-0.20690536815379,-1.55803210010881,1.1230889251602
1730865123748,-32.554,52.1208,-107.7183,0.4945,-6.154,7.9586,0.1008,-1.2546,1.6225,-0.16460536815379,-1.23013210010881,1.0535889251602
1730865123768,-19.2303,65.437,-152.5492,0.673,-7.5616,7.843,0.1372,-1.5416,1.5989,-0.12820536815379,-1.51713210010881,1.0299889251602
1730865123788,-28.7857,72.7568,-146.1566,0.7328,-8.1185,8.2083,0.1494,-1.6551,1.6734,-0.11600536815379,-1.63063210010881,1.1044889251602
1730865123807,-32.367,64.7715,-78.3345,1.1532,-7.7969,8.1454,0.2351,-1.522,1.6357,-0.0303053681537904,-1.49753210010881,1.0667889251602
1730865123827,-21.4509,40.5541,-19.9929,1.904,-5.5839,7.6107,0.3881,-1.1384,1.5516,0.12269463184621,-1.11393210010881,0.982688925160198
1730865123847,-5.5328,27.9632,-51.2983,1.3274,-7.1778,7.4215,0.2706,-1.4633,1.513,0.00519463184620961,-1.43883210010881,0.944088925160198
1730865123867,-16.6882,46.2216,-55.5302,1.2442,-8.628,6.8509,0.2806,-1.7373,1.4093,0.0151946318462096,-1.71283210010881,0.840388925160198
1730865123887,-54.9844,61.1602,-82.514,1.2358,-8.5741,7.3844,0.2519,-1.748,1.5054,-0.0135053681537904,-1.72353210010881,0.936488925160198
1730865123907,-72.6596,58.8648,-82.5289,1.1675,-7.9011,8.1706,0.238,-1.6108,1.6657,-0.0274053681537904,-1.58633210010881,1.0967889251602
1730865123927,-74.1624,56.7788,-57.7508,1.346,-6.6563,8.049,0.3282,-1.3623,1.6303,0.0627946318462096,-1.33783210010881,1.0613889251602
1730865123947,-59.1639,54.5133,-55.7321,2.383,-7.1527,7.5628,0.4858,-1.4582,1.5418,0.22039463184621,-1.43373210010881,0.972888925160198
1730865123967,-66.8426,48.674,-55.9489,2.8458,-7.1772,7.3084,0.5802,-1.4632,1.4899,0.31479463184621,-1.43873210010881,0.920988925160198
1730865123987,-80.084,26.9763,-36.6139,2.4992,-6.8132,7.7622,0.383,-1.3521,1.6258,0.11759463184621,-1.32763210010881,1.0568889251602
1730865124007,-82.828,23.9332,-27.0137,0.628,-6.309,8.3418,0.128,-1.2862,1.7006,-0.13740536815379,-1.26173210010881,1.1316889251602
1730865124027,-83.0673,34.1316,-40.2027,0.2095,-6.1929,8.337,0.0427,-1.2625,1.6997,-0.22270536815379,-1.23803210010881,1.1307889251602
1730865124047,-90.4618,73.5194,-80.6523,1.6465,-4.2158,7.8173,0.3356,0.8594,1.5937,0.0701946318462096,0.883867899891186,1.0247889251602
1730865124066,-75.4484,71.9194,-88.9665,2.8506,-4.7804,7.6604,0.5811,0.9746,1.5617,0.31569463184621,0.999067899891186,0.992788925160198
1730865124086,-66.4613,44.5692,-62.1995,1.4334,-6.5174,8.7058,0.2922,-1.3287,1.7749,0.0267946318462096,-1.30423210010881,1.2059889251602
1730865124105,-79.613,58.7303,-16.1274,0.819,-3.2314,8.3849,0.1669,0.6588,1.7094,-0.0985053681537904,0.683267899891186,1.1404889251602
1730865124126,-64.1659,76.6596,-49.8329,2.5878,-2.8033,7.9969,0.5275,0.5715,1.6303,0.26209463184621,0.595967899891186,1.0613889251602
1730865124145,-46.73,66.0949,-58.5957,3.6045,-4.5176,7.6886,0.7348,-1.0147,1.5959,0.46939463184621,-0.990232100108814,1.0269889251602
1730865124166,-53.1301,29.2417,-8.4861,2.5129,-4.8882,8.1077,0.5123,0.9965,1.6529,0.24689463184621,1.02096789989119,1.0839889251602
1730865124176,-57.4443,26.5426,8.0599,2.2411,-4.3571,8.0328,0.4569,0.8883,1.6376,0.19149463184621,0.912767899891186,1.0686889251602
1730865124185,-60.8985,28.1053,12.89,2.1603,-4.0062,7.8867,0.4404,0.8167,1.6079,0.17499463184621,0.841167899891186,1.0389889251602
1730865124195,-62.9397,31.0362,3.0804,2.2884,-3.9601,7.9466,0.4665,0.8073,1.6201,0.20109463184621,0.831767899891186,1.0511889251602
1730865124206,-64.2631,30.3857,-10.0189,2.265,-4.1361,8.2221,0.4301,0.8834,1.6639,0.16469463184621,0.907867899891186,1.0949889251602
1730865124226,-66.8276,24.1426,10.9535,1.6501,-4.2116,8.5556,0.3364,0.8586,1.7442,0.0709946318462096,0.883067899891186,1.1752889251602
1730865124236,-69.5193,28.0604,19.7387,1.6435,-3.5943,8.3879,0.335,0.7327,1.71,0.0695946318462096,0.757167899891186,1.1410889251602
1730865124245,-72.3231,37.0475,21.1145,1.913,-2.8231,8.1574,0.39,0.5755,1.663,0.12459463184621,0.599967899891186,1.0940889251602
1730865124255,-74.0428,46.229,9.8918,2.3249,-2.1243,7.9885,0.4739,0.4331,1.6286,0.20849463184621,0.457567899891186,1.0596889251602
1730865124266,-73.6764,59.3434,-30.0492,2.8327,-1.6292,7.8921,0.7022,0.299,1.5897,0.43679463184621,0.323467899891186,1.0207889251602
1730865124286,-63.9416,58.2443,-50.2142,4.8139,-1.6322,7.4868,0.9814,0.3327,1.5263,0.71599463184621,0.357167899891186,0.957388925160198
1730865124306,-57.4891,26.1538,-33.5708,4.575,-1.7483,8.1466,0.9327,0.3564,1.6608,0.66729463184621,0.380867899891186,1.0918889251602
